"id","group","spent"
"1033100","",""
"1001708","",""
"1033407","",""
"1037744","",""
"1018018","",""
"1007116","",""
"1039646","",""
"1037526","",""
"1008610","",""
"1013106","",""
"1020862","",""
"1019876","",""
"1038790","",""
"1031535","",""
"1021344","",""
"1028841","",""
"1044867","",""
"1046184","",""
"1024459","",""
"1010152","",""
"1032317","",""
"1030263","B","45.09"
"1036404","",""
"1034934","",""
"1049732","",""
"1042241","",""
"1029066","",""
"1036015","",""
"1008086","",""
"1040607","",""
"1012514","",""
"1015977","",""
"1005797","",""
"1029625","",""
"1001942","",""
"1021847","",""
"1029798","",""
"1014746","",""
"1019730","",""
"1040077","",""
"1003240","",""
"1037384","",""
"1024820","",""
"1012255","",""
"1025274","",""
"1015962","",""
"1019183","",""
"1003493","",""
"1045997","",""
"1037202","",""
"1038837","",""
"1018960","",""
"1042679","",""
"1037502","A","13.028502853749723"
"1005515","",""
"1015408","",""
"1014635","",""
"1002353","",""
"1016173","",""
"1015108","",""
"1001686","",""
"1017606","",""
"1027619","",""
"1011823","",""
"1021596","",""
"1041751","",""
"1031733","",""
"1035076","",""
"1047128","B","66.13746070277075"
"1033094","",""
"1033158","",""
"1015340","",""
"1020248","",""
"1034065","",""
"1016482","",""
"1014449","",""
"1009877","",""
"1020659","",""
"1030337","",""
"1003984","",""
"1006968","",""
"1025493","",""
"1041569","",""
"1048873","",""
"1009390","",""
"1034341","",""
"1047845","",""
"1035047","A","54.01"
"1033139","",""
"1021722","",""
"1002130","",""
"1002923","",""
"1038124","",""
"1041783","",""
"1004443","",""
"1044885","",""
"1008965","B","91.83"
"1022239","",""
"1045690","",""
"1011181","",""
"1011356","",""
"1028132","",""
"1009690","",""
"1031626","",""
"1014413","",""
"1032973","",""
"1039146","",""
"1046707","",""
"1016598","",""
"1018277","",""
"1041654","",""
"1001857","",""
"1019247","",""
"1042616","",""
"1002025","",""
"1026168","",""
"1022449","",""
"1028418","",""
"1048817","",""
"1009593","",""
"1017752","",""
"1047663","",""
"1047740","",""
"1044958","",""
"1012730","",""
"1019910","",""
"1012482","",""
"1014421","",""
"1012320","",""
"1013030","",""
"1011578","",""
"1045858","",""
"1027059","",""
"1036740","",""
"1001664","",""
"1039597","",""
"1006040","",""
"1037007","",""
"1001013","",""
"1047471","B","60.15"
"1011327","",""
"1018480","B","72.32"
"1019885","",""
"1015924","",""
"1030609","",""
"1027659","",""
"1001046","",""
"1024910","",""
"1018692","",""
"1033201","",""
"1004176","",""
"1011217","",""
"1035978","B","14.07"
"1006644","",""
"1045610","",""
"1046260","",""
"1003297","",""
"1030380","",""
"1015849","",""
"1042843","",""
"1017263","",""
"1001644","",""
"1034068","",""
"1041407","",""
"1014786","",""
"1033736","",""
"1000008","",""
"1007663","",""
"1035648","",""
"1004980","",""
"1043175","A","53.83"
"1018219","",""
"1025655","",""
"1005017","",""
"1005347","",""
"1010809","",""
"1017072","",""
"1022862","",""
"1044410","",""
"1008232","",""
"1016231","",""
"1041271","",""
"1001260","",""
"1001870","",""
"1043081","",""
"1009541","",""
"1017720","",""
"1018285","",""
"1007935","",""
"1028157","",""
"1016165","",""
"1026186","",""
"1040265","",""
"1024721","",""
"1039305","",""
"1040822","",""
"1006733","",""
"1005358","",""
"1021470","",""
"1004586","",""
"1000303","",""
"1029414","",""
"1032129","",""
"1026867","",""
"1047061","",""
"1009217","",""
"1017952","",""
"1041555","",""
"1042286","",""
"1036424","",""
"1010468","",""
"1047046","",""
"1006433","",""
"1046792","",""
"1001855","A","96.6"
"1022175","",""
"1013596","",""
"1041765","",""
"1048521","",""
"1045948","",""
"1006349","",""
"1014859","",""
"1043522","",""
"1010537","",""
"1011945","",""
"1035207","",""
"1014426","",""
"1021038","",""
"1019245","",""
"1014061","",""
"1015901","",""
"1034530","",""
"1049720","",""
"1027298","",""
"1037127","",""
"1013540","",""
"1034769","",""
"1015922","",""
"1008299","",""
"1020003","",""
"1047159","",""
"1001187","",""
"1011258","",""
"1034284","",""
"1035701","",""
"1002008","",""
"1018588","",""
"1032334","",""
"1012039","",""
"1001526","",""
"1031997","",""
"1012510","",""
"1019681","",""
"1023654","",""
"1015818","",""
"1045380","",""
"1012501","A","26.84"
"1028483","",""
"1018904","",""
"1049291","",""
"1038262","",""
"1015524","",""
"1030537","",""
"1034237","",""
"1040097","",""
"1038318","",""
"1013485","",""
"1001283","",""
"1008897","",""
"1007544","",""
"1035889","",""
"1042288","",""
"1000306","",""
"1036866","",""
"1046960","",""
"1045229","",""
"1018941","",""
"1022758","",""
"1015804","",""
"1043753","",""
"1031227","",""
"1039201","",""
"1000728","",""
"1006614","",""
"1034414","",""
"1021801","B","53.58"
"1007105","",""
"1011957","",""
"1049869","",""
"1038531","",""
"1049138","",""
"1003021","",""
"1004265","",""
"1042750","",""
"1007506","",""
"1025758","",""
"1027133","",""
"1019656","",""
"1047789","",""
"1040329","A","63.51"
"1021653","",""
"1020435","",""
"1028982","",""
"1001607","",""
"1018677","",""
"1036539","",""
"1041785","",""
"1011927","",""
"1032740","",""
"1015672","",""
"1022773","",""
"1013809","",""
"1010483","",""
"1021761","",""
"1037814","",""
"1024056","",""
"1042623","",""
"1009010","",""
"1008126","",""
"1037721","",""
"1048531","",""
"1014599","",""
"1021900","",""
"1015379","",""
"1021451","",""
"1022489","",""
"1027354","",""
"1027279","",""
"1037320","",""
"1033823","",""
"1046529","",""
"1038642","",""
"1025088","",""
"1048208","",""
"1040290","",""
"1005031","",""
"1042817","",""
"1020409","",""
"1009245","B","16.03"
"1031717","",""
"1008867","",""
"1030077","",""
"1047516","",""
"1047901","",""
"1007456","",""
"1007937","B","70.07"
"1042264","",""
"1048414","",""
"1011726","",""
"1021600","",""
"1023232","",""
"1045612","",""
"1010426","",""
"1022524","",""
"1036694","",""
"1011432","",""
"1009687","",""
"1031947","",""
"1034163","",""
"1010631","",""
"1005811","",""
"1040053","",""
"1031287","",""
"1001533","",""
"1011377","",""
"1017719","",""
"1019472","",""
"1011882","",""
"1008549","",""
"1004510","",""
"1046768","",""
"1048992","",""
"1004620","",""
"1044660","",""
"1045183","",""
"1048405","",""
"1024265","",""
"1023621","",""
"1008392","B","135.5"
"1026143","",""
"1011070","A","95.67"
"1022780","",""
"1016612","",""
"1033367","",""
"1003656","",""
"1038402","",""
"1042206","",""
"1046079","",""
"1049966","",""
"1025369","",""
"1039848","",""
"1023446","",""
"1043170","",""
"1030724","",""
"1040682","",""
"1037704","",""
"1030228","",""
"1045539","",""
"1018906","",""
"1000150","",""
"1047833","",""
"1018031","",""
"1023325","",""
"1042245","",""
"1024688","B","18.71"
"1012161","",""
"1022223","",""
"1035746","",""
"1006432","",""
"1042504","",""
"1027900","",""
"1033807","",""
"1019086","",""
"1023171","",""
"1036255","",""
"1035948","B","42.03"
"1049725","",""
"1016872","",""
"1023587","",""
"1002223","A","41.45"
"1011450","",""
"1038409","",""
"1033978","",""
"1018020","",""
"1020199","",""
"1040897","",""
"1016919","",""
"1021625","",""
"1033577","",""
"1042468","",""
"1032722","",""
"1048074","",""
"1049697","",""
"1004846","",""
"1019021","B","44.68"
"1017779","",""
"1018818","",""
"1003088","",""
"1006414","",""
"1026118","",""
"1004135","",""
"1019633","",""
"1019035","",""
"1023285","",""
"1031444","",""
"1003065","",""
"1039396","",""
"1013549","",""
"1020219","",""
"1039504","",""
"1011922","",""
"1033757","",""
"1026712","",""
"1048482","",""
"1017012","",""
"1034831","B","121.52"
"1021188","",""
"1001348","",""
"1034834","",""
"1035201","",""
"1018439","",""
"1004796","",""
"1025187","",""
"1030978","",""
"1037974","",""
"1029420","",""
"1022510","A","109.02"
"1047686","",""
"1018610","",""
"1040642","",""
"1032942","",""
"1039480","",""
"1040446","",""
"1048000","",""
"1013723","",""
"1011386","",""
"1020344","",""
"1001253","",""
"1011216","",""
"1007995","",""
"1017576","",""
"1031455","",""
"1033216","",""
"1024980","",""
"1010500","",""
"1012883","",""
"1006084","",""
"1004991","",""
"1014016","",""
"1027695","",""
"1026505","A","14.25"
"1030673","A","72.91"
"1046543","",""
"1012331","",""
"1038352","",""
"1047333","",""
"1002362","",""
"1032413","",""
"1000854","",""
"1036414","",""
"1002871","",""
"1003279","",""
"1030042","",""
"1046190","",""
"1015659","",""
"1012579","",""
"1028166","",""
"1034936","",""
"1015218","",""
"1006085","",""
"1020568","",""
"1034308","",""
"1006645","",""
"1007449","",""
"1027349","",""
"1006096","",""
"1039660","",""
"1048698","A","43.39"
"1010914","",""
"1049714","",""
"1014396","",""
"1045820","",""
"1000480","",""
"1045682","",""
"1023482","",""
"1020617","",""
"1020373","",""
"1044638","",""
"1035174","",""
"1004832","",""
"1040351","",""
"1014971","",""
"1016182","",""
"1008085","A","1266.8000000000002"
"1004691","",""
